pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,st_met,spec_F,spec_G,spec_K,spec_M,spec_m,st_lum,temp_score,dist_score,lum_score,stellar_temp_score,stellar_mass_score,stellar_compatibility_index,orbital_stability,Habitability_Score,Rank
0.7292041733801631,0.0460264911129126,3.308958,0.05208,0.5653172552397357,0.6972026478752937,2.591,1.72,0.3,0.0,0.0,1.0,0.0,0.0,1.4231831304896529e-15,0.0,0.3680533333333333,0.5000000000000007,-5776.302797352126,0.6210526315789473,0.3105263157894736,0.000472138445589,0.9999935695473631,1
0.6769951416065491,0.0520701077830602,4.6174141,0.06311,0.4323858742463392,0.8227631859918857,1.605,1.572,0.317,0.0,0.0,1.0,0.0,0.0,1.059105756089528e-15,0.0,0.3754066666666666,0.5000000000000006,-5776.177236814009,0.6989473684210525,0.3494736842105262,0.0007983698735643,0.9999880564368832,2
0.7018804524990201,0.0552513584477491,4.231306,0.058,0.4323858742463392,0.7448216954943414,1.648,1.4352,0.22,1.0,0.0,0.0,0.0,0.0,7.499175867385093e-16,0.0,0.372,0.5000000000000004,-5776.255178304506,0.7709473684210526,0.3854736842105263,0.0006723719123287,0.9999649375006111,3
0.7267632617438374,0.0198059551716495,4.8084983,0.0569,0.2991673844387022,0.5887251761691223,1.069,1.063,0.239,0.0,0.0,1.0,0.0,0.0,1.2316737728062142e-16,0.0,0.3712666666666666,0.5,-5776.411274823832,0.966842105263158,0.483421052631579,0.0007495987760821,0.9999641960023699,4
0.5159565358190912,0.2524533866553231,10.261127,0.111,0.34465403387884,0.681827888105915,2.7505,1.7169,0.285,0.0,0.0,1.0,0.0,0.0,1.4669394617339717e-15,0.0,0.4073333333333333,0.5000000000000007,-5776.318172111895,0.6226842105263157,0.3113421052631578,0.0031205071150684,0.9999510499260653,5
0.6779709870396905,0.0316209969730112,3.208664,0.04882,0.5064599483204133,0.6371983771086911,2.168,1.507,0.373,1.0,0.0,0.0,0.0,0.0,6.951956560926303e-16,0.0,0.36588,0.5000000000000003,-5776.362801622892,0.7331578947368422,0.3665789473684211,0.0004291697985753,0.99993186434736,6
0.6828502142053977,0.0044787857012471,5.2097118,0.05602,0.2024117140396209,0.4646594063634424,0.852,0.864,0.107,0.0,0.0,1.0,0.0,0.0,3.0360433790549556e-17,0.0,0.37068,0.5,-5776.535340593638,0.9284210526315788,0.4642105263157894,0.0007995837124273,0.9998303555705415,7
0.6316183259183974,0.0384373672430275,4.9394392,0.0628,0.4028136663795577,0.6369848387785608,1.842,1.35,0.208,0.0,0.0,1.0,0.0,0.0,5.011704820723865e-16,0.0,0.3752,0.5000000000000002,-5776.363015161222,0.8157894736842105,0.4078947368421052,0.0008498541966027,0.9998082683758689,8
0.4798706061992901,0.35625541120777,9.485236,0.0761,0.1085271317829457,0.2071321802263506,0.609,0.644,0.44,0.0,0.0,1.0,0.0,0.0,6.125121968721711e-19,0.0,0.3840666666666666,0.5,-5776.792867819775,0.8126315789473684,0.4063157894736842,0.0019776067386301,0.9996498416862292,9
0.5203728780742853,0.0880609851263305,15.168865,0.1207,0.2328452483491242,0.5938500960922486,1.088,1.026,0.14,0.0,1.0,0.0,0.0,0.0,1.32085445406824e-16,0.0,0.4138,0.5,-5776.406149903909,0.986315789473684,0.4931578947368421,0.0050161150835616,0.9995616342732078,10
0.5452559998618232,0.1688572517426736,5.858858,0.073,0.4263565891472867,0.6903694213111253,2.19,1.483,0.03,0.0,0.0,1.0,0.0,0.0,9.7747186771335e-16,0.0,0.382,0.5000000000000004,-5776.309630578689,0.7457894736842104,0.3728947368421052,0.0011717715999999,0.9994255528630299,11
0.5877052788152541,0.0497979843597214,3.2797178,0.04435,0.3921906402526557,0.6053811659192825,1.308,1.081,0.153,0.0,1.0,0.0,0.0,0.0,2.061678584385718e-16,0.0,0.3629,0.5000000000000001,-5776.3946188340815,0.9573684210526316,0.4786842105263158,0.0003985081765205,0.999419608184261,12
0.5999033476001149,0.0475258609363826,2.392679,0.036,0.4556416881998276,0.6626094383941918,1.51,1.31,0.28,1.0,0.0,0.0,0.0,0.0,3.943430723791853e-16,0.0,0.3573333333333334,0.5000000000000002,-5776.337390561606,0.8368421052631578,0.4184210526315789,0.0002359902575342,0.9992960969073253,13
0.4280703502688515,0.6269204770302328,1.4079405,0.0204,0.0,0.3636557762118301,0.0131,0.518,0.06,0.0,0.0,1.0,0.0,0.0,2.6927398776702384e-21,0.0,0.3469333333333333,0.5,-5776.636344223789,0.7463157894736843,0.3731578947368421,7.869037315068378e-05,0.9992905598524585,14
0.5969758108653943,0.0182609112434932,3.4936264,0.0463,0.3873097904105655,0.5803971812940423,1.392,1.088,0.187,0.0,0.0,1.0,0.0,0.0,1.9727384028595278e-16,0.0,0.3641999999999999,0.5000000000000001,-5776.419602818707,0.9536842105263156,0.4768421052631578,0.0004431641159452,0.9988837719176803,15
0.5076859480740993,0.0757001913857835,5.8768918,0.0675,0.3161068044788974,0.5763399530215674,1.419,1.186,0.387,0.0,0.0,1.0,0.0,0.0,1.993285685659968e-16,0.0,0.3783333333333333,0.5000000000000001,-5776.423660046979,0.9021052631578949,0.4510526315789473,0.0010868224561643,0.998590762204514,16
0.547207690728106,0.0502524090443892,3.2443141,0.04611,0.4220499569336777,0.6090113175314971,1.538,1.242,0.273,0.0,0.0,1.0,0.0,0.0,2.9194697150976336e-16,0.0,0.3640733333333333,0.5000000000000002,-5776.3909886824695,0.8726315789473684,0.4363157894736842,0.0004098502004136,0.9984274196640337,17
0.4535265234876745,0.0334386957116822,18.18424,0.134,0.1923629055412,0.5244501387999148,1.01,0.97,0.36,0.0,0.0,1.0,0.0,0.0,6.923878149199403e-17,0.0,0.4226666666666666,0.5,-5776.475549861201,0.9842105263157894,0.4921052631578947,0.0066758579726027,0.9983330485781594,18
0.5447680771452523,0.0443448881437083,3.246075,0.0456,0.3936261843238586,0.6284433055733505,1.302,1.199,0.262,0.0,0.0,1.0,0.0,0.0,2.3723361989321604e-16,0.0,0.3637333333333333,0.5000000000000001,-5776.371556694427,0.8952631578947368,0.4476315789473684,0.0004055370410958,0.9983132656725106,19
0.4498351636850021,0.0215439243244665,25.241192,0.16,0.082687338501292,0.3651505445227418,0.753,0.789,0.085,0.0,0.0,1.0,0.0,0.0,9.044147004727082e-18,0.0,0.44,0.5,-5776.634849455479,0.8889473684210526,0.4444736842105263,0.011064632109589,0.9980662632739771,20
0.4715796648713841,0.0293488735496724,6.90683,0.06,0.2024117140396209,0.6318599188554346,2.9,1.53,0.14,0.0,0.0,1.0,0.0,0.0,1.2027325795674015e-15,0.0,0.3733333333333334,0.5000000000000007,-5776.368140081146,0.7210526315789474,0.3605263157894737,0.0011353693150684,0.9980385511517008,21
0.583801896647392,0.0911506306644873,0.94667944,0.01932,0.5552684467413148,0.5994020926756354,1.08,1.072,0.196,0.0,0.0,1.0,0.0,0.0,1.3508601190380782e-16,0.0,0.3462133333333334,0.5,-5776.400597907325,0.9621052631578948,0.4810526315789473,5.010916926246718e-05,0.9980165490220618,22
0.5696521369962484,0.0466170115670471,3.7065585,0.04756,0.3241458512776342,0.615631005765535,0.985,1.044,0.071,0.0,0.0,1.0,0.0,0.0,1.2503864230732398e-16,0.0,0.36504,0.5,-5776.384368994235,0.9768421052631578,0.4884210526315789,0.0004829696500274,0.997793732666093,23
0.4584065825045506,0.069338594279273,10.33111,0.097,0.3465403387884008,0.582532564595345,1.66,1.14,0.26,0.0,1.0,0.0,0.0,0.0,2.8469960123814406e-16,0.0,0.398,0.5000000000000002,-5776.417467435405,0.9263157894736842,0.4631578947368421,0.0027455278630136,0.9975958377971121,24
0.512565175675103,0.0816077122864644,7.479182,0.0726,0.2170542635658914,0.5067264573991033,0.912,0.912,0.206,0.0,0.0,1.0,0.0,0.0,4.920099077414501e-17,0.0,0.3817333333333333,0.5,-5776.493273542602,0.9536842105263158,0.4768421052631579,0.0014876400361643,0.9975354043441645,25
0.5545265319119632,0.0193515304869818,4.0664428,0.04823,0.261556129773184,0.4855861627162077,0.859,0.905,0.168,0.0,0.0,1.0,0.0,0.0,3.6807929455582127e-17,0.0,0.3654866666666666,0.5,-5776.514413837284,0.95,0.475,0.0005373274965589,0.9973511843263216,26
0.5237873990268223,0.0461625868823794,9.088516,0.0813,0.1831754234855009,0.494127695921418,0.791,0.867,0.071,0.0,0.0,1.0,0.0,0.0,3.34656761700624e-17,0.0,0.3875333333333334,0.5,-5776.505872304079,0.93,0.4649999999999999,0.0020243735638356,0.9967995216753971,27
