planet_name,host_star_name,radius_earth,pl_radj,mass_earth,pl_massj,orbital_period,semimajor_axis,eq_temp_k,density,star_temp_k,star_luminosity,star_metallicity,star_spectype,habitability_score,stellar_compatibility,orbital_stability,star_A,star_B,star_F,star_G,star_K,star_M,star_Unknown,radius_earth_scaled,mass_earth_scaled,orbital_period_scaled,semimajor_axis_scaled,eq_temp_k_scaled,density_scaled,star_temp_k_scaled,star_luminosity_scaled,star_metallicity_scaled,habitable_binary
2MASS J11011926-7732383 b,2MASS J11011926-7732383,2.42,,8899.195396,28.0,11.0873213,266.0,2677.0,1.33,5577.0,-0.02687,-0.02,G0 V,0.3571814729592108,1.0,7.989637553412117,False,False,False,True,False,False,False,0.0,8703.144841,0.0,1329.1985453091218,5.286118980169972,0.0,0.0,0.0,0.0,0
2MASS J11550485-7919108 b,2MASS J11550485-7919108,2.42,,6356.56814,20.0,11.0873213,587.0,2506.0,1.33,5577.0,-0.02687,-0.02,G0 V,0.3687151751989143,1.0,8.780980689237255,False,False,False,True,False,False,False,0.0,6160.5175850000005,0.0,2933.857555269505,4.801699716713881,0.0,0.0,0.0,0.0,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,2.42,,1271.0,4.0,11.0873213,46.0,1150.0,1.33,2825.0,-2.56086,-0.02,G0 V,0.5260428634558716,1.0,6.236402426846572,False,False,False,True,False,False,False,0.0,1074.949445,0.0,229.43224564779982,0.9603399433427762,0.0,-3.010117582718075,-2.5339899999999997,0.0,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2.42,,603.877,1.9,416.0,0.92,811.0,1.33,5577.0,-0.02687,-0.02,G0 V,0.6074189989431872,1.0,5.949913119949747,False,False,False,True,False,False,False,0.0,407.8264449999999,13.25835700092104,4.080132971743504,0.0,0.0,0.0,0.0,0.0,0
2MASS J21252752-8138278 b,2MASS J21252752-8138278,2.42,,3813.940884,12.0,11.0873213,7493.0,1616.0,1.33,5577.0,-0.02687,-0.02,G0 V,0.45268939662394403,1.0,11.327538797531169,False,False,False,True,False,False,False,0.0,3617.8903290000003,0.0,37456.52148918355,2.2804532577903682,0.0,0.0,0.0,0.0,0
2MASS J22362452+4751425 b,2MASS J22362452+4751425,2.42,,3972.875,12.5,11.0873213,230.0,811.0,1.33,4045.0,-0.02687,-0.02,K7 V,0.6074189989431872,0.9,7.8442736062721,False,False,False,False,True,False,False,0.0,3776.824445,0.0,1149.2367871827237,0.0,0.0,-1.6756904566584632,0.0,0.0,0
2MASS J22501512+2325342 b,2MASS J22501512+2325342,2.42,,9534.85221,30.0,11.0873213,518.0,1600.0,1.33,5577.0,-0.02687,-0.02,M3,0.4547378169432804,0.5,8.655951575334148,False,False,False,False,False,True,False,0.0,9338.801655,0.0,2588.930852193909,2.235127478753541,0.0,0.0,0.0,0.0,0
4 UMa b,4 UMa,2.42,,196.050555,,270.27,0.877,811.0,1.33,4415.0,-0.02687,-0.25,K1 III,0.6074189989431872,0.9,5.472383230361943,False,False,False,False,True,False,False,0.0,0.0,8.486611221195167,3.8651786495369733,0.0,0.0,-1.2709871479354662,0.0,-1.0952380952380953,0
47 UMa b,47 UMa,2.42,,196.050555,,1076.6,2.1,811.0,1.33,5882.0,-0.02687,0.04,G0 V,0.6074189989431872,1.0,7.723942762629811,False,False,False,True,False,False,False,0.0,0.0,34.8888741359441,9.978879488108776,0.0,0.0,0.3336067815149029,0.0,0.2857142857142857,0
47 UMa c,47 UMa,2.42,,196.050555,,2287.0,3.404,811.0,1.33,5829.16,-0.02687,0.0256,G0 V,0.6074189989431872,1.0,8.960075849494105,False,False,False,True,False,False,False,0.0,0.0,74.52190159618011,16.497494282464974,0.0,0.0,0.2758107738583537,0.0,0.21714285714285717,0
47 UMa d,47 UMa,2.42,,196.050555,,14002.0,11.6,811.0,1.33,5872.0,0.1978,0.04,G0 V,0.6074189989431872,1.0,11.997966710386441,False,False,False,True,False,False,False,0.0,0.0,458.1148598716799,57.46878788257495,0.0,0.0,0.3226688542521192,0.22467,0.2857142857142857,0
51 Eri b,51 Eri,2.42,,635.66,2.0,11.0873213,13.2,700.0,1.33,5577.0,0.85,-0.027,F0 IV,0.6430239839133015,0.7,4.992828633420756,False,False,True,False,False,False,False,0.0,439.60944499999994,0.0,65.4670882437482,-0.31444759206798867,0.0,0.0,0.8768699999999999,-0.03333333333333333,0
51 Peg b,51 Peg,2.42,,196.050555,,4.230785,0.0527,811.0,1.33,5758.0,0.13631,0.18,G0 V,0.6074189989431872,1.0,0.20127608722102996,False,False,False,True,False,False,False,0.0,0.0,-0.22450866776272724,-0.2554457177849707,0.0,0.0,0.19797648345638502,0.16318,0.9523809523809523,0
55 Cnc B b,55 Cnc B,2.42,,196.050555,,6.7994,0.044,811.0,1.33,3286.0,-0.02687,0.16,M4.5 V,0.6074189989431872,0.5,0.26172837002177407,False,False,False,False,False,True,False,0.0,0.0,-0.1404025963567671,-0.29893647599885026,0.0,0.0,-2.5058791359037462,0.0,0.8571428571428571,0
