pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,st_met,spec_F,spec_G,spec_K,spec_M,spec_m,st_lum,temp_score,radius_score,dist_score,lum_score,habitability_score,habitable,stellar_temp_score,stellar_mass_score,stellar_compatibility_index,orbital_stability
HD 2685 b,0.6779721967280202,0.052979223636213,4.12688,0.0568,0.5449325294286533,0.8101644245142005,1.56,1.43,0.02,False,False,True,False,False,9.406579314997245e-16,0.0,0.8389860983640101,0.3712,0.5000000000000004,0.7069193125556361,1,-5776.189835575487,0.7736842105263158,0.3868421052631579,0.0006422103671232
HD 28109 b,0.092456927391808,0.0006977326168263,22.891054,0.06,0.2021246052253803,0.6794789664744822,1.425,1.227,0.1,True,False,False,False,False,3.883503033870737e-16,0.0,0.546228463695904,0.3733333333333334,0.5000000000000002,0.1455903879575455,0,-5776.320521033526,0.8805263157894736,0.4402631578947368,0.0037629129863013
HD 332231 b,0.3703079741165543,0.0104059384943899,18.712024,0.145,0.1824002296870513,0.6664531283365365,1.266,1.1642,0.043,False,False,True,False,False,2.8368456366924132e-16,0.0,0.6851539870582771,0.43,0.5000000000000002,0.5233686851768011,1,-5776.333546871664,0.913578947368421,0.4567894736842105,0.0074335437808219
HD 63433 d,0.0220695208039767,0.0044787857012471,4.209075,0.0503,0.2517944300890036,0.5724962630792227,0.912,0.99,0.03,False,True,False,False,False,8.016229668468442e-17,0.0,0.5110347604019884,0.3668666666666667,0.5,0.0651250911433098,0,-5776.427503736922,0.9947368421052633,0.4973684210526315,0.0005800451301369
HD 63935 b,0.1022838468614895,0.0013125379964069,9.058807,0.083,0.1901291989664082,0.5351270553064276,0.9598,0.9406,0.107,False,False,True,False,False,6.777647482561607e-17,0.0,0.5511419234307448,0.3886666666666666,0.5,0.1846962388011284,0,-5776.464872944694,0.9687368421052632,0.4843684210526315,0.0020599478931506
HD 77946 b,0.1014441081243422,0.0013697291945074,6.527363,0.073,0.2773069193224232,0.6406149903907752,1.3174,1.1973,0.215,False,False,True,False,False,2.6224882796211086e-16,0.0,0.5507220540621711,0.382,0.5000000000000001,0.1710088849442161,0,-5776.35938500961,0.896157894736842,0.448078947368421,0.0013054725999999
HD 86226 c,0.0693862251706883,0.0008478595118402,3.98442,0.049,0.3296009187482056,0.6098654708520179,1.053,1.019,0.018,False,True,False,False,False,1.376203866330852e-16,0.0,0.5346931125853442,0.366,0.5,0.10914629742958,0,-5776.390134529149,0.99,0.495,0.000534894739726
HD 93963 A b,0.0393309192170843,0.0002116074329719,1.0376109,0.02061,0.4821217341372379,0.6194746957078796,1.0311,1.0844,0.11,False,False,True,False,False,1.4047068743099404e-16,0.0,0.5196654596085422,0.3470733333333333,0.5,0.0435649209122277,0,-5776.380525304293,0.9555789473684212,0.4777894736842105,5.858948123013632e-05
HD 93963 A c,0.1111642446311452,0.0024420641588922,3.6451389,0.04726,0.3013063451047946,0.6194746957078796,1.0311,1.0844,0.11,False,False,True,False,False,1.4047068743099404e-16,0.0,0.5555821223155726,0.3648399999999999,0.5,0.1472520709811782,0,-5776.380525304293,0.9555789473684212,0.4777894736842105,0.0004719705874356
HIP 65 A b,0.9658471131543472,0.1458186520355782,0.9809734,0.01782,0.3583118001722652,0.338031176596199,0.7242,0.781,0.18,False,False,True,False,False,6.143755433310341e-18,0.0,0.9829235565771736,0.3452133333333332,0.5,0.9347364313244522,1,-5776.661968823405,0.8847368421052632,0.4423684210526316,4.789300270684927e-05
