pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,st_met,spec_F,spec_G,spec_K,spec_M,spec_m,st_lum,temp_score,radius_score,dist_score,lum_score,habitability_score,habitable,stellar_temp_score,stellar_mass_score,stellar_compatibility_index,orbital_stability
TOI-1230.01,0.1163844598227545,0.0044787857012471,25.05713123288,0.06,0.1509072638530002,0.5742045697202649,1.15281,0.8889,0.06,False,False,True,False,False,1.2961996442243554e-16,0.0,0.5581922299113773,0.3733333333333334,0.5,0.168697911977496,0,-5776.42579543028,0.9415263157894735,0.4707631578947368,0.0041189804766378
TOI-1231 b,0.1342453691508173,0.0020131301731383,24.245586,0.1288,0.0478323284524834,0.1165919282511211,0.476,0.485,0.041,False,False,False,True,False,3.756450713890576e-20,0.0,0.5671226845754087,0.4192,0.5,0.2745363055542262,0,-5776.88340807175,0.7289473684210526,0.3644736842105263,0.0085557026761643
TOI-1235 b,0.0489273005595067,0.0007677918344995,3.444714,0.06,0.2024117140396209,0.2114029468289558,0.619,0.63,0.33,False,False,False,True,False,6.866181751824249e-19,0.0,0.5244636502797533,0.3733333333333334,0.5,0.1035525430393637,0,-5776.788597053172,0.8052631578947369,0.4026315789473684,0.0005662543561643
TOI-1238 b,0.028033079680002,0.0003488663084131,0.764597,0.0139,0.2784955498133792,0.2310484732009396,0.58,0.59,0.31,False,False,True,False,False,8.601184211490458e-19,0.0,0.514016539840001,0.3426,0.5,0.0240142039828819,0,-5776.7689515268,0.7842105263157895,0.3921052631578947,2.911752958904073e-05
TOI-1238 c,0.0672097438290732,0.0010008459667591,3.294736,0.037,0.1527418891759976,0.2310484732009396,0.58,0.59,0.31,False,False,True,False,False,8.601184211490458e-19,0.0,0.5336048719145366,0.358,0.5,0.0915927331240382,0,-5776.7689515268,0.7842105263157895,0.3921052631578947,0.0003339869369863
TOI-1244 b,0.0827498206082048,0.0044787857012471,6.400316483,0.060694,0.2024117140396209,0.3399530215673713,0.721,0.73,0.06,False,False,True,False,False,6.2292534569677016e-18,0.0,0.5413749103041025,0.373796,0.5,0.1371095702415732,0,-5776.6600469784335,0.8578947368421053,0.4289473684210526,0.0010642761879978
TOI-1246 b,0.1063864079781444,0.0009693908078038,4.30744,0.049,0.2273901808785529,0.457826179799274,0.86,0.87,0.17,False,False,True,False,False,2.915340228194818e-17,0.0,0.5531932039890722,0.366,0.5,0.1448784656100334,0,-5776.542173820201,0.9315789473684212,0.4657894736842105,0.0005782590684931
TOI-1246 c,0.0820576325059459,0.0011123688030551,5.904137,0.061,0.2008297444731553,0.47106555626735,0.8649,0.8889,0.168,False,False,True,False,False,3.304814180510548e-17,0.0,0.5410288162529729,0.374,0.5,0.1368351214066128,0,-5776.528934443733,0.9415263157894735,0.4707631578947368,0.0009867187863013
TOI-1246 d,0.1247296791129502,0.0005833502206253,18.654874,0.132,0.1219552110249784,0.47106555626735,0.8649,0.8889,0.168,False,False,True,False,False,3.304814180510548e-17,0.0,0.5623648395564751,0.4213333333333333,0.5,0.2694671688189047,0,-5776.528934443733,0.9415263157894735,0.4707631578947368,0.0067464201863013
TOI-1248 b,0.2717330817329028,0.003728866116154,4.3601561,0.051,0.2265546942291128,0.4693572496263081,0.8686,0.9042,0.223,False,False,True,False,False,3.2850623834477887e-17,0.0,0.6358665408664514,0.3673333333333334,0.5,0.3071339054747368,1,-5776.530642750375,0.9495789473684212,0.4747894736842105,0.0006092272906849
TOI-1249 b,0.1177489508231428,0.0015127071897587,13.079151,0.109,0.1618977892621303,0.5317104420243435,0.9785,1.0062,0.297,False,False,True,False,False,6.866133878468901e-17,0.0,0.5588744754115713,0.406,0.5,0.233109968770973,0,-5776.468289557976,0.9967368421052633,0.4983684210526315,0.0039058286547945
TOI-1268 b,0.3714818353868597,0.013594347788494,8.1577094,0.0711,0.2170255526844673,0.4896433909886826,0.92,0.96,0.36,False,False,True,False,False,4.365008486973073e-17,0.0,0.6857409176934298,0.3807333333333332,0.5,0.4293457705382466,1,-5776.510356609012,0.9789473684210526,0.4894736842105263,0.0015890770913424
TOI-1272 b,0.1552287852827752,0.0036716749180534,3.31599,0.0417,0.2331323571633648,0.4394618834080719,0.7934,0.8772,0.182,False,False,True,False,False,2.1064885014802e-17,0.0,0.5776143926413876,0.3611333333333333,0.5,0.1826472232356732,0,-5776.560538116592,0.9353684210526316,0.4676842105263158,0.0003788405013698
TOI-1273 b,0.4584057506533818,0.0098994970453205,4.631296,0.0549,0.3008900373241458,0.5729233397394833,1.06,1.06,0.07,False,False,True,False,False,1.086144581749338e-16,0.0,0.7292028753266908,0.3699333333333333,0.5,0.4924310028100915,1,-5776.427076660261,0.968421052631579,0.4842105263157895,0.0006965976723287
TOI-128.01,0.0719536025612574,0.0044787857012471,4.9404681,0.05381019,0.339221935113408,0.6574845184710656,1.13,0.851969,0.06,False,False,True,False,False,2.1408629260170206e-16,0.0,0.5359768012806287,0.3692067933333333,0.5000000000000001,0.1178194793915645,0,-5776.3425154815295,0.9220889473684212,0.4610444736842105,0.0007283493894518
TOI-1288 b,0.1916376807923772,0.0061165986368507,2.6998279,0.0374,0.2987194946884869,0.5084347640401452,0.9583,0.9552,0.257,False,False,True,False,False,5.505969188631789e-17,0.0,0.5958188403961886,0.3582666666666666,0.5,0.2122715186727091,0,-5776.4915652359605,0.976421052631579,0.4882105263157895,0.0002766398998904
TOI-1294 b,0.4160430625748307,0.0089475629428266,3.915292,0.051,0.3530691932242319,0.5789024129831306,1.5566,1.1578,0.283,False,False,True,False,False,2.441548419397992e-16,0.0,0.7080215312874153,0.3673333333333334,0.5000000000000001,0.4464983116560694,1,-5776.421097587017,0.9169473684210526,0.4584736842105263,0.0005470681972602
TOI-1295 b,0.6584540770709726,0.0643395742690896,3.1968838,0.047,0.6307780648865919,0.6989109545163357,1.7,1.38,0.26,True,False,False,False,False,6.186928297082622e-16,0.0,0.8292270385354863,0.3646666666666667,0.5000000000000003,0.6754512230301843,1,-5776.301089045484,0.8,0.4,0.0004116535304109
TOI-1296 b,0.5898464306411396,0.0134370719937175,3.9443736,0.051,0.3594142980189491,0.5466581251334615,1.7031,1.1576,0.405,False,False,True,False,False,2.3239853070117533e-16,0.0,0.7949232153205698,0.3673333333333334,0.5000000000000001,0.6143453520448325,1,-5776.453341874868,0.9170526315789472,0.4585263157894736,0.0005511316536986
TOI-1298 b,0.395774428597939,0.0139660905761474,4.537143,0.057,0.3201263278782658,0.5861627162075593,1.4536,1.2187,0.397,False,False,True,False,False,2.2379606320245867e-16,0.0,0.6978872142989694,0.3713333333333334,0.5000000000000001,0.4346501298541567,1,-5776.413837283793,0.8848947368421053,0.4424473684210526,0.000708540139726
TOI-1301.01,0.0831851168765278,0.0044787857012471,6.096407209,0.059866,0.2024117140396209,0.3871449925261585,0.732,0.77,0.06,False,False,True,False,False,1.0799573320965026e-17,0.0,0.5415925584382639,0.373244,0.5,0.1364637833186397,0,-5776.6128550074745,0.8789473684210526,0.4394736842105263,0.000999910997189
TOI-132 b,0.124233554979388,0.0030139761398974,2.1097019,0.026,0.3537180591444157,0.5103566090113176,0.9,0.97,0.16,False,True,False,False,False,4.9302602141989186e-17,0.0,0.562116777489694,0.3506666666666667,0.5,0.1324982772455256,0,-5776.48964339099,0.9842105263157894,0.4921052631578947,0.0001502801353424
TOI-1333 b,0.6565035588928365,0.1075104591130795,4.720219,0.0626,0.4352569623887452,0.6976297245355543,1.925,1.464,0.119,False,False,True,False,False,7.875012003382776e-16,0.0,0.8282517794464181,0.3750666666666666,0.5000000000000004,0.6936547237555244,1,-5776.302370275465,0.7557894736842106,0.3778947368421053,0.0008095498887671
TOI-1347 b,0.0537155595110598,0.0013983247935577,0.84742346,0.06,0.3551536032156187,0.524663677130045,0.83,0.913,0.04,False,False,True,False,False,4.683494661255959e-17,0.0,0.5268577797555299,0.3733333333333334,0.5,0.1081767059803642,0,-5776.475336322871,0.9542105263157896,0.4771052631578947,0.0001393024865753
TOI-1347 c,0.0450096341445995,0.0007263282158766,4.841962,0.06,0.2403100775193798,0.524663677130045,0.83,0.913,0.04,False,False,True,False,False,4.683494661255959e-17,0.0,0.5225048170722998,0.3733333333333334,0.5,0.0997691369967279,0,-5776.475336322871,0.9542105263157896,0.4771052631578947,0.0007959389589041
TOI-1386 b,0.2459592158032733,0.006359661228778,25.8401,0.173,0.1297817973011771,0.582532564595345,1.0235,1.0363,0.149,False,False,True,False,False,1.0822968059628415e-16,0.0,0.6229796079016366,0.4486666666666666,0.5,0.4393353219943194,1,-5776.417467435405,0.9808947368421052,0.4904473684210526,0.0122474994520547
TOI-1408 c,0.0719980027806264,0.0008979018101781,2.1664,0.03587,0.2024117140396209,0.6641042067051037,1.53,1.312,0.25,True,False,False,False,False,4.085240573778121e-16,0.0,0.5359990013903132,0.3572466666666666,0.5000000000000002,0.0947618636127556,0,-5776.335895793296,0.8357894736842105,0.4178947368421052,0.0002129007342465
TOI-1410.01,0.1103402079009888,0.0015984939869095,1.21687,0.0207,0.3082687338501291,0.3476404014520607,0.7558,0.7941,0.328,False,False,True,False,False,7.485565178498139e-18,0.0,0.5551701039504944,0.3471333333333334,0.5,0.1122565735733913,0,-5776.652359598549,0.8916315789473684,0.4458157894736842,6.901153150684678e-05
TOI-1411 b,0.0275458055548711,9.722503677088696e-05,1.4520527,0.02122,0.2335343095033017,0.2366004697843263,0.614,0.6045,0.012,False,False,True,False,False,1.0599588436372217e-18,0.0,0.5137729027774356,0.34748,0.5,0.0329691489402161,0,-5776.763399530217,0.7918421052631579,0.3959210526315789,8.441796792876844e-05
TOI-1416 b,0.0458802266812456,0.0003088324697428,1.0697568,0.019,0.3887453344817685,0.4008114456544951,0.793,0.798,0.08,False,True,False,False,False,1.456118380432269e-17,0.0,0.5229401133406228,0.346,0.5,0.0478166810246802,0,-5776.599188554346,0.8936842105263159,0.4468421052631579,5.568597041095952e-05
TOI-1420 b,0.4929294942489804,0.003400016727076,6.9561063,0.071,0.2279643985070341,0.5344864403160368,0.923,0.987,0.28,False,False,True,False,False,6.237923139847312e-17,0.0,0.7464647471244902,0.3806666666666666,0.5,0.5465025939261419,1,-5776.465513559685,0.993157894736842,0.496578947368421,0.001353105609041
TOI-1422 b,0.1420807019806316,0.0011695600011556,12.99894,0.107,0.2029859316681021,0.4894298526585523,0.87,0.8889,0.06,False,True,False,False,False,3.896639039068773e-17,0.0,0.5710403509903158,0.4046666666666666,0.5,0.2540325800644991,0,-5776.510570147342,0.9415263157894735,0.4707631578947368,0.0038106481643835
TOI-1431 b,0.7023671241741157,0.1415917706626082,2.650237,0.046,0.6336491530289979,1.0,1.92,1.9,0.09,False,False,False,False,False,3.307442535591905e-15,0.0,0.8511835620870578,0.364,0.5000000000000017,0.716571708877944,1,-5776.000000000001,0.5263157894736843,0.2631578947368421,0.0003340024712328
TOI-1438 b,0.1076922967831135,0.0011552622016305,5.13967,0.0553,0.2319839219064024,0.4746957078795644,0.82,0.876,0.03,False,False,True,False,False,3.063224129803788e-17,0.0,0.5538461483915568,0.3702,0.5,0.154251728788886,0,-5776.525304292121,0.9347368421052632,0.4673684210526316,0.0007786952082191
TOI-1438 c,0.0950687050017461,0.0013268357959321,9.428089,0.083,0.1811656617858168,0.4746957078795644,0.82,0.876,0.03,False,False,True,False,False,3.063224129803788e-17,0.0,0.5475343525008731,0.3886666666666666,0.5,0.1777283634335984,0,-5776.525304292121,0.9347368421052632,0.4673684210526316,0.0021439216082191
TOI-1442 b,0.02629189460671,0.0044787857012471,0.4090677,0.0071,0.2609819121447028,0.0689728806320734,0.31,0.29,0.06,False,False,True,False,False,1.951311912336479e-21,0.0,0.513145947303355,0.3380666666666666,0.5,0.0135767426856965,0,-5776.931027119369,0.6263157894736842,0.3131578947368421,7.957207315067965e-06
TOI-1444 b,0.0370838667738561,0.0003231302692679,0.4702743,0.0116,0.5647487797875393,0.523809523809524,0.9105,0.9513,0.146,False,False,True,False,False,5.59942345213451e-17,0.0,0.5185419333869281,0.3410666666666667,0.5,0.0297932456332734,0,-5776.476190476192,0.9743684210526316,0.4871842105263158,1.4945703780822475e-05
TOI-1448 b,0.0950251753749138,0.0025993399536687,8.112245,0.0567,0.075509618145277,0.0864830237027546,0.38,0.372,0.37,False,False,True,False,False,7.247371184986733e-21,0.0,0.5475125876874569,0.3711333333333333,0.5,0.1438214109913187,0,-5776.9135169762985,0.6694736842105262,0.3347368421052631,0.0012601761410958
TOI-1451 b,0.0890371972488281,0.0019845345740881,16.537944,0.127,0.1608756818834338,0.5966260943839421,1.0162,1.0022,0.019,False,False,True,False,False,1.1739705626507876e-16,0.0,0.5445185986244141,0.418,0.5,0.2285596893299666,0,-5776.403373905617,0.998842105263158,0.4994210526315789,0.0057542983232876
TOI-1467 b,0.058939114730936,0.0044787857012471,5.97114713,0.050748,0.2024117140396209,0.1765961990177236,0.491,0.489,0.06,False,False,True,False,False,2.1036730404360976e-19,0.0,0.529469557365468,0.3671653333333333,0.5,0.1013080082125688,0,-5776.823403800983,0.7310526315789474,0.3655263157894737,0.0008302021220636
TOI-1472 b,0.1520054568983963,0.0023920218605543,6.36338574,0.064,0.2090152167671547,0.4469357249626309,0.84,0.87,0.27,False,False,True,False,False,2.525973001311641e-17,0.0,0.5760027284491982,0.376,0.5,0.2082487171588281,0,-5776.553064275038,0.9315789473684212,0.4657894736842105,0.0011157717461917
TOI-1478 b,0.4974395705908178,0.0398006412970308,10.1802117,0.0818,0.2024117140396209,0.4894298526585523,0.87,0.8889,0.06,False,False,True,False,False,3.896639039068773e-17,0.0,0.7487197852954088,0.3878666666666667,0.5,0.5647646125671848,1,-5776.510570147342,0.9415263157894735,0.4707631578947368,0.0022814830604383
TOI-150.01,0.5877063331028161,0.1138724365853806,5.857487,0.07037,0.3564455928797014,0.6935724962630794,1.526,1.351,0.28,True,False,False,False,False,4.834664796290203e-16,0.0,0.7938531665514079,0.3802466666666667,0.5000000000000002,0.6372201706941434,1,-5776.306427503738,0.8152631578947369,0.4076315789473684,0.0011292913977808
TOI-157 b,0.6028319643048773,0.0534336505985203,2.0845435,0.03138,0.4091300602928509,0.5118513773222295,1.167,0.948,0.24,False,True,False,False,False,8.38700818910425e-17,0.0,0.8014159821524386,0.3542533333333333,0.5,0.601622381208045,1,-5776.488148622679,0.9726315789473684,0.4863157894736842,0.0001792136302191
TOI-1601 b,0.5934404225039209,0.055143753208523,5.33175,0.069,0.3821332184898075,0.6352765321375187,2.195,1.5055,0.343,False,False,True,False,False,7.040607732188234e-16,0.0,0.7967202112519605,0.3793333333333333,0.5000000000000003,0.640993684112324,1,-5776.364723467864,0.7339473684210526,0.3669736842105263,0.0010079198630136
TOI-163 b,0.7018804524990201,0.0552513584477491,4.231306,0.058,0.4323858742463392,0.7448216954943414,1.648,1.4352,0.22,True,False,False,False,False,7.499175867385093e-16,0.0,0.85094022624951,0.372,0.5000000000000004,0.7315533877423062,1,-5776.255178304506,0.7709473684210526,0.3854736842105263,0.0006723719123287
TOI-1630.01,0.0805733392665897,0.0044787857012471,12.055734733,0.101151,0.2024117140396209,0.5332052103352554,0.83,0.95,0.06,False,False,True,False,False,4.996013152150496e-17,0.0,0.5402866696332949,0.4007673333333333,0.5,0.1871017027053763,0,-5776.466794789666,0.9736842105263156,0.4868421052631578,0.0033409578739114
TOI-1634 b,0.0525402595865877,0.0008936124703206,0.9893455,0.06,0.2024117140396209,0.0992953235105701,0.45,0.451,0.19,False,False,True,False,False,1.7661600541356132e-20,0.0,0.5262701297932939,0.3733333333333334,0.5,0.1070416841675734,0,-5776.90070467649,0.7110526315789474,0.3555263157894737,0.0001626321369863
TOI-1648 b,0.0859274833669628,0.0008693062111279,7.331602,0.0694,0.1826012058570198,0.3935511424300661,0.81,0.83,0.2,False,False,True,False,False,1.412097218186646e-17,0.0,0.5429637416834814,0.3796,0.5,0.1513885209998631,0,-5776.606448857571,0.9105263157894736,0.4552631578947368,0.001394008709041
TOI-1659.01,0.0735215397197569,0.0044787857012471,5.877556328,0.065757,0.2024117140396209,0.6342088404868675,1.006,1.1,0.06,False,False,True,False,False,1.4689769374924016e-16,0.0,0.5367607698598784,0.3771713333333333,0.5,0.1347168650887447,0,-5776.365791159514,0.9473684210526316,0.4736842105263157,0.0010588780040008
TOI-1669 c,0.0753235661524725,0.0016699829845352,2.6800535,0.0376,0.3221820269882285,0.5317104420243435,1.0561,0.9867,0.274,False,False,True,False,False,7.998355303132597e-17,0.0,0.5376617830762362,0.3583999999999999,0.5,0.100201074332725,0,-5776.468289557976,0.993,0.4965,0.0002760822235616
TOI-1670 b,0.0650332624874582,0.0057187899469491,10.98462,0.103,0.2581108240022968,0.6754217382020073,1.316,1.21,0.09,True,False,False,False,False,3.233715177798276e-16,0.0,0.532516631243729,0.402,0.5000000000000002,0.1744750372061081,0,-5776.324578261799,0.8894736842105263,0.4447368421052631,0.003099769479452
TOI-1680 b,0.0391766641490712,0.0044787857012471,4.8026345,0.03144,0.0691932242319839,0.0465513559683963,0.2106,0.1798,0.04,False,False,False,True,False,1.8686842575318184e-22,0.0,0.5195883320745356,0.3542933333333333,0.5,0.0573610862757658,0,-5776.9534486440325,0.5683157894736841,0.284157894736842,0.0004136844621369
TOI-1683.01,0.0902020927218948,0.0044787857012471,3.0575356,0.036507593,0.2199971289118575,0.2978859705317104,0.7,0.694661,0.06,False,False,True,False,False,3.4616737061057997e-18,0.0,0.5451010463609474,0.3576717286666666,0.5,0.1131630801861658,0,-5776.702114029469,0.8392952631578947,0.4196476315789473,0.0003058171651172
TOI-1685 b,0.0372178309416176,0.0002502114916897,0.66913923,0.01164,0.2403100775193798,0.0988682468503096,0.462,0.466,0.01,False,False,False,True,False,1.8297895122072348e-20,0.0,0.5186089154708089,0.3410933333333333,0.5,0.0299741243560545,0,-5776.90113175315,0.7189473684210526,0.3594736842105263,2.133912503342404e-05
TOI-169 b,0.5052472468722241,0.0357564417647694,2.2554477,0.03524,0.4455928797014067,0.6134956224642325,1.288,1.147,0.24,False,True,False,False,False,2.108470110417048e-16,0.0,0.752623623436112,0.3568266666666667,0.5000000000000001,0.5123522283163155,1,-5776.386504377537,0.9226315789473684,0.4613157894736842,0.0002177588409534
TOI-1691 b,0.1346806654191404,0.0044787857012471,16.736888935,0.129365,0.2024117140396209,0.5876574845184712,1.0,1.03,0.06,False,False,True,False,False,1.0700077840696255e-16,0.0,0.5673403327095702,0.4195766666666666,0.5,0.2756842002295485,0,-5776.412342515482,0.9842105263157894,0.4921052631578947,0.0059319661289761
TOI-1693 b,0.0367390050464623,0.0044787857012471,1.7666957,0.0226,0.1725523973585989,0.1050608584240871,0.46,0.49,0.06,False,False,True,False,False,2.312966236839465e-20,0.0,0.5183695025232311,0.3483999999999999,0.5,0.043624235209752,0,-5776.894939141577,0.7315789473684211,0.3657894736842105,0.0001093899255342
TOI-1694 b,0.2079073615645114,0.0042864802976341,3.770107,0.045,0.2239994257823715,0.43796711509716,0.8036,0.853,0.131,False,False,True,False,False,2.131747274829401e-17,0.0,0.6039536807822556,0.3633333333333334,0.5,0.2377696883816797,0,-5776.562032884904,0.9226315789473684,0.4613157894736842,0.0004648077123287
TOI-1696 b,0.1098687781247286,0.0067885952145319,2.500311,0.0229,0.0935974734424346,0.0380098227631859,0.2775,0.255,0.336,False,False,False,True,False,1.4421127049876424e-22,0.0,0.5549343890623644,0.3486,0.5,0.1146341064737876,0,-5776.961990177238,0.6078947368421053,0.3039473684210526,0.0001568688271232
TOI-1710 b,0.2018534778422166,0.0030139761398974,24.283377,0.166,0.1263250071777203,0.5716421097587017,0.9574,1.0258,0.147,False,False,True,False,False,8.781597951278162e-17,0.0,0.6009267389211083,0.444,0.5,0.3877276341935545,1,-5776.428357890242,0.986421052631579,0.4932105263157895,0.0110439467999999
TOI-1716.01,0.1121758483468405,0.0044787857012471,8.082376554,0.080496,0.2024117140396209,0.6132820841341022,1.24,1.07,0.06,False,False,True,False,False,1.9515259538222202e-16,0.0,0.5560879241734202,0.3869973333333333,0.5000000000000001,0.1910249875833338,0,-5776.386717915867,0.963157894736842,0.481578947368421,0.001782462967372
TOI-172 b,0.4462084928254689,0.2461106826167818,9.47725,0.0914,0.2971576227390181,0.5633141148836216,1.777,1.128,0.148,False,False,True,False,False,2.8527731563999296e-16,0.0,0.7231042464127344,0.3942666666666666,0.5000000000000002,0.5276505869091603,1,-5776.436685885117,0.9326315789473684,0.4663157894736842,0.0023732072602739
TOI-1723 b,0.1248864993818725,0.0044787857012471,13.727012643,0.113496,0.2024117140396209,0.5915011744608158,1.09,1.04,0.06,False,False,True,False,False,1.3048641246000708e-16,0.0,0.5624432496909363,0.4089973333333333,0.5,0.2457921364634319,0,-5776.40849882554,0.9789473684210526,0.4894736842105263,0.0042683863751504
TOI-1728 b,0.1951868467160392,0.0036402197590982,3.49151,0.0391,0.1734137238013207,0.2077727952167414,0.6243,0.646,0.25,False,False,False,True,False,6.516752838422133e-19,0.0,0.5975934233580196,0.3594,0.5,0.2178880397939262,0,-5776.7922272047845,0.8136842105263158,0.4068421052631579,0.0003740220301369
TOI-1736 b,0.1138628542700958,0.0015698983878593,7.073076,0.073,0.268960666092449,0.5613922699124494,1.4286,1.0373,0.148,False,False,True,False,False,1.8187661169703148e-16,0.0,0.5569314271350478,0.382,0.5000000000000001,0.1830020344964666,0,-5776.438607730089,0.9803684210526316,0.4901842105263158,0.0014146152
TOI-1739 b,0.0600708850285758,0.0044787857012471,8.303341406,0.073872,0.2024117140396209,0.3858637625453769,0.781,0.78,0.06,False,False,True,False,False,1.2131874159197101e-17,0.0,0.5300354425142879,0.3825813333333333,0.5,0.1321763642393536,0,-5776.614136237456,0.8842105263157894,0.4421052631578947,0.0016805053050521
TOI-1742 b,0.0783131060523568,0.0011981556002059,21.269084,0.154,0.1524806201550387,0.5996156310057656,1.131,1.0861,0.193,False,False,True,False,False,1.4835659002662167e-16,0.0,0.5391565530261784,0.436,0.5,0.2529693801950476,0,-5776.400384368995,0.9546842105263158,0.4773421052631579,0.0089738053041095
TOI-1743 b,0.0550214483160289,0.0044787857012471,4.266046,0.03589,0.0924490381854722,0.0576553491351698,0.338,0.339,0.22,False,False,False,True,False,1.1326133492802934e-21,0.0,0.5275107241580145,0.35726,0.5,0.0783928568814311,0,-5776.942344650865,0.6521052631578947,0.3260526315789473,0.0004194750436712
TOI-1744.01,0.092021631123485,0.0044787857012471,22.341702927,0.164086,0.2024117140396209,0.6773435831731796,1.14,1.18,0.06,False,False,True,False,False,2.4543451465077493e-16,0.0,0.5460108155617425,0.442724,0.5000000000000001,0.2791952376749393,0,-5776.322656416828,0.9052631578947368,0.4526315789473684,0.0100437278533691
TOI-1753 b,0.0832515139222239,0.0021847037674399,5.3846104,0.059,0.2418690783807062,0.5581891949604956,0.9715,0.9483,0.026,False,False,True,False,False,8.220555422785313e-17,0.0,0.541625756961112,0.3726666666666666,0.5,0.1354128092376592,0,-5776.44181080504,0.9727894736842104,0.4863947368421052,0.0008703890783561
TOI-1758 b,0.1329394803458483,0.0044787857012471,20.705074685,0.141409,0.2024117140396209,0.4616698697416186,0.81,0.88,0.06,False,False,True,False,False,2.6741515440065938e-17,0.0,0.5664697401729242,0.427606,0.5,0.289511014623339,0,-5776.538330130259,0.936842105263158,0.4684210526315789,0.0080215997428251
TOI-1759 b,0.1120452594663436,0.0013554313949823,18.85019,0.1177,0.0803904679873672,0.2259235532778133,0.597,0.606,0.05,False,False,False,True,False,8.330758634008175e-19,0.0,0.5560226297331718,0.4118,0.5,0.2388042079907935,0,-5776.774076446724,0.7926315789473684,0.3963157894736842,0.0060785407205479
TOI-1768.01,0.125670032664854,0.0044787857012471,7.337703649,0.076381,0.2024117140396209,0.6378389920990819,1.1,1.1,0.06,False,False,True,False,False,1.796881674568108e-16,0.0,0.5628350163324269,0.384254,0.5000000000000001,0.1987580836308544,0,-5776.362161007902,0.9473684210526316,0.4736842105263157,0.0015355099792171
TOI-1772.01,0.1018157971607528,0.0044787857012471,8.054246874,0.078375,0.2024117140396209,0.5500747384155458,0.995,0.99,0.06,False,False,True,False,False,8.132476464126945e-17,0.0,0.5509078985803764,0.3855833333333333,0.5,0.1782888974562659,0,-5776.449925261585,0.9947368421052633,0.4973684210526315,0.0017294564349308
TOI-1774.01,0.0946186770018142,0.0044787857012471,16.71004217491,0.06,0.1677978753947746,0.6078795643818067,1.09271,0.8889,0.06,False,False,True,False,False,1.462749166761868e-16,0.0,0.5473093385009071,0.3733333333333334,0.5,0.147678053335599,0,-5776.392120435619,0.9415263157894735,0.4707631578947368,0.0027468562479304
TOI-1775 b,0.3256577166534158,0.0135371565903934,10.2405549,0.08,0.156442721791559,0.4862267777065985,0.8288,0.9218,0.162,False,False,True,False,False,3.444647818067594e-17,0.0,0.6628288583267079,0.3866666666666666,0.5,0.3965520572059633,1,-5776.513773222295,0.9588421052631578,0.4794210526315789,0.0022445051835616
TOI-1777.01,0.0731297730782662,0.0044787857012471,14.650111974,0.119466,0.2024117140396209,0.6090113175314971,0.98,1.06,0.06,False,False,True,False,False,1.1853414049877175e-16,0.0,0.5365648865391331,0.4129773333333333,0.5,0.203496345705382,0,-5776.3909886824695,0.968421052631579,0.4842105263157895,0.0047950418550298
TOI-1782.01,0.078440387551807,0.0044787857012471,4.987641028,0.05024,0.2024117140396209,0.2837924407431134,0.669,0.68,0.06,False,False,True,False,False,2.6046260400031893e-18,0.0,0.5392201937759036,0.3668266666666666,0.5,0.1194868419520562,0,-5776.716207559258,0.8315789473684211,0.4157894736842105,0.0006865180417718
TOI-1782.02,0.0554132149575196,0.0044787857012471,1.829024227,0.025739,0.2024117140396209,0.2837924407431134,0.669,0.68,0.06,False,False,True,False,False,2.6046260400031893e-18,0.0,0.5277066074787597,0.3504926666666667,0.5,0.0657003705625838,0,-5776.716207559258,0.8315789473684211,0.4157894736842105,0.0001289787796678
TOI-1789 b,0.6779709870396905,0.0316209969730112,3.208664,0.04882,0.5064599483204133,0.6371983771086911,2.168,1.507,0.373,True,False,False,False,False,6.951956560926303e-16,0.0,0.8389854935198452,0.36588,0.5000000000000003,0.69664278240427,1,-5776.362801622892,0.7331578947368422,0.3665789473684211,0.0004291697985753
TOI-1794 b,0.1188799628346832,0.0010551776049546,8.765528,0.082,0.2382744760264139,0.560324578261798,1.3162,0.9698,0.035,False,False,True,False,False,1.5321183516986263e-16,0.0,0.5594399814173416,0.388,0.5,0.1994359583054143,0,-5776.439675421739,0.9841052631578948,0.4920526315789473,0.0019692419068493
TOI-1798.01,0.0819227576983911,0.0044787857012471,8.021522331,0.074984,0.2024117140396209,0.4608157164210977,0.78,0.87,0.06,False,False,True,False,False,2.4614339453500488e-17,0.0,0.5409613788491956,0.3833226666666666,0.5,0.1547112173324731,0,-5776.53918428358,0.9315789473684212,0.4657894736842105,0.001647906384843
TOI-1798.02,0.0390896048954066,0.0044787857012471,0.437811822,0.010789,0.2024117140396209,0.4608157164210977,0.78,0.87,0.06,False,False,True,False,False,2.4614339453500488e-17,0.0,0.5195448024477033,0.340526,0.5,0.0306859706106403,0,-5776.53918428358,0.9315789473684212,0.4657894736842105,1.294123766454303e-05
TOI-1799 b,0.0468378784715562,0.0044787857012471,7.094570865,0.072502,0.2024117140396209,0.5729233397394833,0.957,1.01,0.06,False,False,True,False,False,8.853190005789864e-17,0.0,0.5234189392357781,0.381668,0.5,0.1176327934907517,0,-5776.427076660261,0.9947368421052633,0.4973684210526315,0.0014092344571348
TOI-1803 b,0.1055158154414985,0.0012868019572617,6.293287,0.06,0.1676715475165087,0.3587443946188342,0.715,0.756,0.014,False,False,True,False,False,7.597005299257356e-18,0.0,0.5527579077207492,0.3733333333333334,0.5,0.1582017414329999,0,-5776.641255605382,0.871578947368421,0.4357894736842105,0.0010345129315068
